
> html-site@1.0.0 start
> npx serve

npm warn exec The following package was not found and will be installed: serve@14.2.5
 INFO  Accepting connections at http://localhost:3000
 HTTP  2/17/2026 9:34:30 AM ::1 GET /gdrive/
 HTTP  2/17/2026 9:34:30 AM ::1 Returned 200 in 442 ms
 HTTP  2/17/2026 9:34:30 AM ::1 GET /fonts/inter/inter-latin-400-normal.woff2
 HTTP  2/17/2026 9:34:30 AM ::1 GET /fonts/inter/inter-latin-700-normal.woff2
 HTTP  2/17/2026 9:34:30 AM ::1 Returned 200 in 5 ms
 HTTP  2/17/2026 9:34:30 AM ::1 Returned 200 in 5 ms
 HTTP  2/17/2026 9:34:30 AM ::1 GET /fonts/fontawesome/webfonts/fa-brands-400.subset.woff2
 HTTP  2/17/2026 9:34:30 AM ::1 GET /fonts/fontawesome/webfonts/fa-solid-900.subset.woff2
 HTTP  2/17/2026 9:34:30 AM ::1 Returned 200 in 8 ms
 HTTP  2/17/2026 9:34:30 AM ::1 Returned 200 in 7 ms
 HTTP  2/17/2026 9:34:30 AM ::1 GET /assets/css/fonts.css
 HTTP  2/17/2026 9:34:30 AM ::1 GET /assets/css/common.css
 HTTP  2/17/2026 9:34:30 AM ::1 GET /assets/css/gdrive.css
 HTTP  2/17/2026 9:34:30 AM ::1 GET /fonts/fontawesome/webfonts/fa-regular-400.subset.woff2
 HTTP  2/17/2026 9:34:30 AM ::1 GET /assets/images/gdrive.png
 HTTP  2/17/2026 9:34:30 AM ::1 Returned 200 in 13 ms
 HTTP  2/17/2026 9:34:30 AM ::1 Returned 200 in 13 ms
 HTTP  2/17/2026 9:34:30 AM ::1 Returned 200 in 14 ms
 HTTP  2/17/2026 9:34:30 AM ::1 Returned 200 in 14 ms
 HTTP  2/17/2026 9:34:30 AM ::1 Returned 200 in 16 ms
 HTTP  2/17/2026 9:34:30 AM ::1 GET /assets/js/vendor-loader.js
 HTTP  2/17/2026 9:34:30 AM ::1 GET /assets/js/page-gdrive.js
 HTTP  2/17/2026 9:34:30 AM ::1 Returned 200 in 4 ms
 HTTP  2/17/2026 9:34:30 AM ::1 Returned 200 in 4 ms
 HTTP  2/17/2026 9:34:30 AM ::1 GET /assets/js/shared.js
 HTTP  2/17/2026 9:34:30 AM ::1 Returned 200 in 3 ms
 HTTP  2/17/2026 9:34:31 AM ::1 GET /fonts/inter/inter-latin-600-normal.woff2
 HTTP  2/17/2026 9:34:31 AM ::1 GET /fonts/inter/inter-latin-500-normal.woff2
 HTTP  2/17/2026 9:34:31 AM ::1 Returned 200 in 4 ms
 HTTP  2/17/2026 9:34:31 AM ::1 Returned 200 in 6 ms
 HTTP  2/17/2026 9:34:31 AM ::1 GET /~partytown/partytown-sw.js
 HTTP  2/17/2026 9:34:31 AM ::1 Returned 200 in 3 ms
 HTTP  2/17/2026 9:34:33 AM ::1 GET /~partytown/partytown-sw.js
 HTTP  2/17/2026 9:34:33 AM ::1 Returned 304 in 2 ms
